timestamp,fhr,uc
1.0,150.5,7.0
2.0,160.10039054715065,8.5
3.0,151.0,8.5
4.0,151.25,7.5
5.0,165.3862860579914,9.5
6.0,169.89661318634538,8.5
7.0,150.25,10.5
8.0,165.61379368969943,12.0
9.0,175.63886688069525,11.0
10.0,172.56817118745104,11.5
11.0,171.3974827796244,13.5
12.0,177.80879066189328,12.0
13.0,175.8792529383262,13.0
14.0,174.85876656301784,12.0
15.0,147.25,13.5
16.0,146.5,15.0
17.0,146.5,15.0
18.0,146.5,15.0
19.0,173.51557341314458,14.5
20.0,146.0,15.0
21.0,178.02996911093757,15.5
22.0,147.0,15.0
23.0,174.90364244702005,15.5
24.0,147.0,15.0
25.0,146.5,12.0
26.0,163.13905658543885,13.5
27.0,146.5,12.5
28.0,146.5,14.0
29.0,146.5,15.0
30.0,169.0552670802303,13.5
31.0,173.08897316332082,13.5
32.0,168.64551216588055,13.0
33.0,181.0308074805543,14.5
34.0,164.12310831324584,14.0
35.0,173.541562380092,13.5
36.0,172.09344771474414,14.0
37.0,165.243822021632,13.5
38.0,161.87075554390069,13.5
39.0,180.53284781441116,15.0
40.0,162.05570362055732,17.5
41.0,164.94373311972532,19.5
42.0,160.35612884828458,15.0
43.0,146.5,17.0
44.0,146.5,18.0
45.0,146.25,17.0
46.0,168.13015680479316,18.0
47.0,171.42717123622123,14.5
48.0,180.3004755895518,13.5
49.0,147.75,13.5
50.0,176.10283875375194,15.5
51.0,162.92604160263156,15.5
52.0,174.02327195852308,13.5
53.0,147.25,12.0
54.0,168.97263390772088,11.5
55.0,147.5,10.5
56.0,171.96481764176252,10.0
57.0,147.75,9.0
58.0,147.0,9.0
59.0,147.5,9.0
60.0,147.5,8.5
61.0,161.75415338898256,8.0
62.0,147.25,8.0
63.0,147.25,7.5
64.0,171.39355882678075,7.5
65.0,146.75,7.0
66.0,175.3357400190332,7.0
67.0,146.25,7.0
68.0,169.0079980975949,6.5
69.0,175.97831346765264,5.5
70.0,161.20955513867884,6.5
71.0,174.95891268498826,6.5
72.0,171.1632963446176,6.5
73.0,177.4264347833569,7.5
74.0,147.5,7.5
75.0,147.5,7.0
76.0,162.20861570252717,6.5
77.0,174.38340986092138,7.0
78.0,147.0,7.0
79.0,146.5,7.0
80.0,179.5614721798405,6.5
81.0,177.4689137625032,6.5
82.0,171.494008050729,6.0
83.0,175.5148666008845,7.0
84.0,180.66410063152097,7.5
85.0,173.1047832057725,6.0
86.0,172.46063612209264,6.5
87.0,164.67539931589528,6.0
88.0,166.09164528280755,6.0
89.0,165.34475821554935,6.5
90.0,145.0,7.5
91.0,169.04490443827547,8.0
92.0,173.28837286723336,8.0
93.0,144.75,7.0
94.0,143.25,7.0
95.0,178.00086532449575,7.0
96.0,142.5,7.0
97.0,142.5,7.0
98.0,175.4898631003501,8.0
99.0,143.0,10.0
100.0,143.0,10.0
